4.011999999999999886e+02,1.322119999999999871e-04
4.031000000000000227e+02,1.060000000000000016e-04
4.050000000000000000e+02,2.213599999999999542e-04
4.070000000000000000e+02,4.181999999999999737e-04
4.088999999999999773e+02,6.840000000000000377e-04
4.108000000000000114e+02,8.520000000000000013e-04
4.128000000000000114e+02,8.779999999999999827e-04
4.146999999999999886e+02,9.619999999999999645e-04
4.166000000000000227e+02,1.203999999999999775e-03
4.186000000000000227e+02,9.379999999999999232e-04
4.205000000000000000e+02,1.189999999999999869e-03
4.223999999999999773e+02,1.919999999999999832e-03
4.243000000000000114e+02,2.599999999999999881e-03
4.263000000000000114e+02,2.839999999999999643e-03
4.281999999999999886e+02,2.759999999999999867e-03
4.301000000000000227e+02,2.560000000000000209e-03
4.321000000000000227e+02,2.480000000000000000e-03
4.340000000000000000e+02,2.759999999999999867e-03
4.358999999999999773e+02,3.179999999999999667e-03
4.378000000000000114e+02,3.740000000000000269e-03
4.398000000000000114e+02,4.399999999999999398e-03
4.416999999999999886e+02,4.919999999999999894e-03
4.436000000000000227e+02,5.119999999999999551e-03
4.456000000000000227e+02,5.120000000000001286e-03
4.475000000000000000e+02,5.260000000000000786e-03
4.493999999999999773e+02,5.519999999999999733e-03
4.513000000000000114e+02,5.559999999999999838e-03
4.533000000000000114e+02,5.440000000000000391e-03
4.551999999999999886e+02,5.539999999999999786e-03
4.571000000000000227e+02,6.039999999999999362e-03
4.591000000000000227e+02,6.175999999999999199e-03
4.610000000000000000e+02,6.594000000000000035e-03
4.628999999999999773e+02,7.520000000000000642e-03
4.648000000000000114e+02,7.919999999999999957e-03
4.668000000000000114e+02,8.600000000000000006e-03
4.686999999999999886e+02,8.729999999999999913e-03
4.706000000000000227e+02,9.308000000000000301e-03
4.726000000000000227e+02,9.598920000000000369e-03
4.745000000000000000e+02,9.546599999999998837e-03
4.763999999999999773e+02,1.006600000000000029e-02
4.783000000000000114e+02,1.065200000000000001e-02
4.803000000000000114e+02,1.065799999999999907e-02
4.821999999999999886e+02,1.098000000000000018e-02
4.841000000000000227e+02,1.133200000000000006e-02
4.861000000000000227e+02,1.123719999999999927e-02
4.880000000000000000e+02,1.110399999999999929e-02
4.898999999999999773e+02,1.105000000000000079e-02
4.918000000000000114e+02,1.151000000000000113e-02
4.938000000000000114e+02,1.243539999999999923e-02
4.956999999999999886e+02,1.337400000000000221e-02
4.976000000000000227e+02,1.466999999999999901e-02
4.996000000000000227e+02,1.624600000000000002e-02
5.015000000000000000e+02,1.929600000000000065e-02
5.033999999999999773e+02,2.317660000000000206e-02
5.053000000000000114e+02,2.920083999999999527e-02
5.073000000000000114e+02,3.490200000000000247e-02
5.091999999999999886e+02,3.737399999999999750e-02
5.111000000000000227e+02,3.660999999999999671e-02
5.131000000000000227e+02,3.388800000000000145e-02
5.150000000000000000e+02,3.045600000000000043e-02
5.168999999999999773e+02,2.665999999999999967e-02
5.187999999999999545e+02,2.249999999999999917e-02
5.207999999999999545e+02,1.891999999999999932e-02
5.227000000000000455e+02,1.632000000000000117e-02
5.246000000000000227e+02,1.353999999999999995e-02
5.266000000000000227e+02,1.137999999999999949e-02
5.285000000000000000e+02,9.499999999999999764e-03
5.303999999999999773e+02,8.420000000000000401e-03
5.323999999999999773e+02,7.280000000000000013e-03
5.342999999999999545e+02,6.919999999999999936e-03
5.362000000000000455e+02,6.680000000000000174e-03
5.381000000000000227e+02,6.340000000000000149e-03
5.401000000000000227e+02,5.980000000000000072e-03
5.420000000000000000e+02,5.559999999999999838e-03
5.438999999999999773e+02,5.199999999999999761e-03
5.458999999999999773e+02,4.919999999999999027e-03
5.477999999999999545e+02,4.899999999999999842e-03
5.497000000000000455e+02,4.980000000000000052e-03
5.516000000000000227e+02,5.140000000000000471e-03
5.536000000000000227e+02,5.320000000000000076e-03
5.555000000000000000e+02,5.699999999999999338e-03
5.573999999999999773e+02,6.140000000000000492e-03
5.593999999999999773e+02,6.640000000000000069e-03
5.612999999999999545e+02,7.219999999999999855e-03
5.632000000000000455e+02,7.919999999999999957e-03
5.651000000000000227e+02,8.720000000000000320e-03
5.671000000000000227e+02,1.000000000000000021e-02
5.690000000000000000e+02,1.072000000000000036e-02
5.708999999999999773e+02,1.204000000000000035e-02
5.728999999999999773e+02,1.332000000000000198e-02
5.747999999999999545e+02,1.527999999999999844e-02
5.767000000000000455e+02,1.668000000000000038e-02
5.786000000000000227e+02,1.799999999999999864e-02
5.806000000000000227e+02,1.924000000000000016e-02
5.825000000000000000e+02,2.039999999999999800e-02
5.843999999999999773e+02,2.096000000000000293e-02
5.863999999999999773e+02,2.088000000000000272e-02
5.882999999999999545e+02,2.136000000000000051e-02
5.902000000000000455e+02,2.188000000000000014e-02
5.921000000000000227e+02,2.188000000000000014e-02
5.941000000000000227e+02,2.196000000000000035e-02
5.960000000000000000e+02,2.152000000000000093e-02
5.978999999999999773e+02,2.120000000000000009e-02
5.998999999999999773e+02,2.179999999999999993e-02
6.017999999999999545e+02,2.260000000000000203e-02
6.037000000000000455e+02,2.420000000000000276e-02
6.056000000000000227e+02,2.679999999999999744e-02
6.076000000000000227e+02,2.980000000000000010e-02
6.095000000000000000e+02,3.099999999999999978e-02
6.113999999999999773e+02,3.200000000000000067e-02
6.133999999999999773e+02,3.219999999999999946e-02
6.152999999999999545e+02,3.160000000000000309e-02
6.172000000000000455e+02,3.139999999999999736e-02
6.191000000000000227e+02,3.119999999999999510e-02
6.211000000000000227e+02,3.099999999999999284e-02
6.230000000000000000e+02,3.219999999999999252e-02
